,input,reply
1984,do these screw in to the easton gamegetter arrow shaft,yes they do
1985,how wide are the steps left to right,about 16 inches
1986,will this box fit the new model m990i for 2014,yes it will
1987,is it a size 5,yes it is
1988,is it made in usa,made in china
1989,is this for right hand carry or left hand,right hand
1990,is there a scabbard for it,yes there is
1991,can these velcro together,yes they do
1992,does a high capacity mag work on it,unfortunately no
1993,what is the cutting diameter,about 2mm
1994,how wide is the widest part of the arrowhead,58 inch
1995,will this fit a 870 without a ammo tube extension,yes perfect fit
1996,would this be easily carried by a 53 115lb female,absolutely
1997,what is the width of the blade,14 inch
1998,is there insect netting could it be added,yes there is
1999,is it led,yes it is
2000,are these adult or youth,youth
2001,how long is the bow string,54 inches
2002,what is the eye relief for this scope,35 inches
2003,will this fit a 2003 ezgo txt,yes perfect fit
2004,will it fit my jing gong m4,yes it will
2005,will this mag fit my wells ar 15 aeg,it should
2006,is this one single shot at a time,yes it is
2007,how long are the bars,19 inches
2008,what is the weight limit on this product,140 pounds
2009,is there an registration number on the bike,unfortunately no
2010,does this unit have a flashlight built in,sorry no
2011,is this gun semi auto,yes it is
2012,how wide is it,about 8 inches
2013,is this phone still available,yes it is
2014,does it have a hydration bag with it,unfortunately no
2015,what is the length dimension,about 95mm
2016,is it a 1 1 scale,it is
2017,how long are they,31 12 inches
2018,are these easy tro install,very easy
2019,is the front wheel detachable,yes it is
2020,is there a carry bag for this pizza oven,yes it is
2021,how long till the grande explodes,3 seconds
2022,can one person row the boat on hisher own,yes very easily
2023,will this fit sightmark flip to side 30mm mount,yes it will
2024,asm approved great job,i dont know
2025,is this made of a canvas material,yes it is
2026,will it kill a dove,yes it can
2027,is this charger compatiblw for agm batteries or gel batteries,sorry no
2028,do you sell this item wholesale,sorry no
2029,will this light work on a 12ga shotgun,yes it will
2030,is the steerer tube tapered or straight,straight
2031,will this fit a 2015 trek marlin 5,yes it will
2032,where is this product manufactured,made in china
2033,synthetic or down,synthetic
2034,is this the twist model,yes it is
2035,is this made in the usa,made in china
2036,do these bingo cards have calling cards with them,no they dont
2037,will these work for airsofting,of course
2038,would it be powerful enough to kill a deer,absolutely
2039,will it kill a buck or doe,both
2040,could you tell me the diameter of this watch face,one inch
2041,is the back strap of the helmet elastic,yes it is
2042,can this be shipped to apo military addresses,unfortunately not
2043,will this fit on a radio flyer tricycle,yes it will
2044,is the jersey adult size,yes they are
2045,is the base made of wood or plastic,wood particle board
2046,will the ten rack hold ten adult sized taekwondo belts,it should
2047,is this a pair of pedals or one pedal,its a pair
2048,whats the weight,around 380 grams
2049,how tall is the table,27 34 inches
2050,how long is this item,around 8 inches
2051,who makes this optic,made in china
2052,will this fit a glock 41 gen 4,yes it will
2053,how much does it way all together,roughly 20 lbs
2054,how much does the box weights,approximately 5 pounds
2055,what is the tollerance on driver weight on this bike,dont know
2056,how much does this bike weigh,31 pounds
2057,what size is it,3 to 5
2058,is this compatible with the s5,yes it is
2059,is this full thang,what
2060,are these adult sizes or youth,youth
2061,will this cover a 26 3 wheel bicycle,yes very well
2062,what is the weight of the cover,very light weight
2063,is there a pressure gage with it,no there isnt
2064,are these dishwasher safe,yes they are
2065,will this work with a 556 ar15,perfectly
2066,what is the length of this product,about 4 inches
2067,how heavy are these weights,5 pounds
2068,what is the height of this waist trimmer,7 12 inches
2069,how long does it need to charge fully,10 hours
2070,will this viewer accept a 2gb sd card,yes it will
2071,how long is each workout,around 30 minutes
2072,what is the diameter of these sleds,25 inches
2073,hello where is this scarf made,made in china
2074,what is the warranty on the tour z6,2 years
2075,where are these made,made in china
2076,what is the size range,22 25 inches
2077,will this mount fit piccanny rail,yes it will
2078,does his come with a warranty,one year warranty
2079,will this fit a ruger sr40c,yes it fits
2080,is there a bag for it,yes there is
2081,what is the diameter of the pole,about 2 inches
2082,will it fit a fn 57 mk2,yes it fits
2083,will it work on a savage 93r17,yes it will
2084,is this dishwasher safe all pieces,yes it is
2085,is this game compatible with windows 81,i think so
2086,will this play on windows 8,yes it will
2087,is this program compatible with windows 8,yes it is
2088,will this work on a 32 bit pc,yes it should
2089,is the cd rom included,yes it is
2090,will this work with vista,sorry no
2091,is quicken 2008 deluxe compatible with windows 7,yes it is
2092,how many users come with this disk,only 1
2093,could this be used to make single drawings,yes it can
2094,work with win 81,i dont know
2095,will this product work on windows 8,yes it will
2096,how many pcsusers are allowed for this product,only one
2097,can this software make a purchase order,yes it can
2098,is this a cddvd version or an internet download,yes it is
2099,is there a product key with this program,yes there is
2100,how long is the license,one year
2101,does the beadcreator 6 have a fringe section,dont know
2102,is office 2003 pro compatible with windows 7,yes it is
2103,can this be used with windows 8,yes it can
2104,is it compatible with windows 81 update 1,yes it is
2105,this is the full version yes,that is correct
2106,is paintshop pro x5 compatible with windows 8,yes it is
2107,will this work with windows 7 professional,yes it will
2108,what is the difference between the academic and non versions,i dont know
2109,how long is the subscription good for until it expires,one year
2110,is this windows 7 compatible,yes it is
2111,is this installed fromt he internet,yes it is
2112,is it compatible with sony dvdcam format,yes it is
2113,is this for a 1 year service period,yes it is
2114,does this work with a 32 bit windows 7 machine,yea it does
2115,once wiped can i reinstall windows,of course
2116,is this compatible with windows 81,yes it is
2117,do this antivus remove virus in a laptop,yes it works
2118,is this good for windows 81,yes it is
2119,does it work on a windows 8 pc,yes it will
2120,is it compatable for a laptop computer,yes it is
2121,can this version process a return filing 1098 t,yes it can
2122,is this windows 8 compatible,yes it is
2123,can you install this software in mac amd,i think so
2124,is malwarebytes pro compatable with kaspersky anti virus 13014190,yes it is
2125,is this compatible with us cutters machines,yes it is
2126,how long is the tube on this product,25 foot
2127,will this part work on 305305 aquastop valve,yes it will
2128,do these 30 inch lights use a 24 inch bulb,yes they do
2129,what is the actual length of the unit,19 12 inches
2130,can we choose the color we want,sorry no
2131,how deep is this,35 inches
2132,is this kennel approved for international shipment of pets,yes it is
2133,how long is the stem on this fitting,1 12 inches
2134,is this toy made in the usa,made in china
2135,how long do you leave happy jack on your dogs,around five minutes
2136,is this receiver compatible with invisible fence systems,yes it is
2137,is this waterproof,yes it is
2138,is this cable flat or round,round
2139,is there iodine added to it,yes there is
2140,is this an enzymatic toothpaste,yes it is
2141,what is the weight of this stroller thank you,about 8 pounds
2142,once installed are the brushes easily removed for cleaning,yes very easily
2143,how wide is this collar,1 inch
2144,does this set come with 2 or 4,with 2
2145,is the bottom tray plastic or metal,its plastic
2146,how long is the cord on the bucket,about 3 ft
2147,will my sdf100a collar work on someone elses sdf100a system,yes it will
2148,how much does this weigh in the box,approximately 50 pounds
2149,can this product be constantly built amp then taken apart,yes it can
2150,how tall is it,40 inches high
2151,what is the height,40 inches high
2152,will the blades for an a5 fit the powermax,yes they will
2153,are these clippers quiet,yes they are
2154,will this replace battery pack 48952,yes it is
2155,how much does this kennel weigh by itself,about 20 lbs
2156,how tall is it,42 inches tall
2157,is this pump self priming,yes it is
2158,are these made in usa,yes they are
2159,how tall is this crate,28 inches
2160,what is the height distance between the shelves,13 inches
2161,is this mat rubberized on both sides,yes it is
2162,is this dog food rice soy and dairy free,yes its
2163,do yall sell the refills for scratch lounge,yes they do
2164,is it approved for american airline,yes it is
2165,how long is the electrical cord for this item,about 5 feet
2166,is this collar 18 inch mediumweight stainless or chrome,its chrome
2167,what is the inlet size,it is 58
2168,what diameter is it,10 inches
2169,how wide is it,10 inches
2170,size of dog,75 pounds
2171,how many cups does each bowl hold,about 25
2172,does it damage the finish on hardwood floors,not at all
2173,how tall are the sides of the bottom,approx 4 inches
2174,are there any chicken products in the ingredients,i dont know
2175,what are the dimensions of the flap,8x12 inches
2176,is this 110 or 220v,it is 110
2177,how long does it last,about a month
2178,how deep is the base,approximately 4 inches
2179,when it says value pack is there more than one,there are 2
2180,what is the diameter of the circle,18 inches
2181,how big is the doorway,about 6 inches
2182,will this fit an a 5 oster clipper,yes it will
2183,is the collar adjustable,yes it is
2184,is it safe to spray on my clothes,absolutely not
2185,where was this manufactured,made in china
2186,anyone able to measure how tall this skimmer is,about 14 inches
2187,what is the warranty on this fixture,1 year warranty
2188,is it ceramic or plastic,it is plastic
2189,can it hold a 23 pound dog,yes it can
2190,are they velcro,yes they are
2191,is this flap smokedtinted cold or clear,clear
2192,can it be used on a cat,yes absolutely
2193,is this safe to use around fruit trees,yes it is
2194,what are the steps made of,heavy cardboard
2195,how much space is between each slat thanks,2 inches
2196,are you able to use this in an outdoor pond,i would not
2197,is this leash made in china,yes it is
2198,what is the collar length,22 inches
2199,how much space is between the bars,1 inch
2200,what are the demensions for the xl crate,length is 42
2201,how many pads come in this replacement package,only one
2202,will this baffle fit a pole of one and five eighth inch diameter,yes it will
2203,can it be quickly broken down for travel,yes very easy
2204,how many eggs it holds,about 36
2205,do these pads have a scent,no they dont
2206,where was this made,made in china
2207,how wide is the door,20 24 inches
2208,will this keep a cat from scratching their head,yes it will
2209,what is the height of the top step,24 inches
2210,can this pad be cut,yes it can
2211,can an indian ringneck live in this cage,not really
2212,what country is this product manufactured in,the philippines
2213,what is the high,16 inches tall
2214,how high is it,28 inches
2215,is this product solid beige,yes it is
2216,how long is the power cable,6 foot
2217,could this be used indoors,yes it could
2218,how tall is this,16 inches high
2219,is this 6 month supply a 6 pack of tubes,yes it is
2220,are these made in america thanks,yes they are
2221,is this food sourced and made in the usa,yes it is
2222,what is the diameter,65 inches
2223,how many alligator treats large in box dpn01159,about 20
2224,how many large alligators come in the display box,about 25
2225,is it powder coated,yes it is
2226,size for your dog,12 pounds
2227,how wide is the hole on the third level,7 inches
2228,is this one piece of fabric,yes it is
2229,what is the total weight,38 pounds
2230,what is the height of the bowl,about 6 inches
2231,how long is the chain,23 inches long
2232,is the pull out tray metal or plastic,its plastic
2233,what is the post diameter please,9 inches
2234,how long for this leash size l,about 3 feet
2235,how much does it cost for additional collars,about 15
2236,how much clearance is required behind the aquarium,5 6 inches
2237,what is the height of the cage465 or 43 inch,its 43 inches
2238,is the pet zippered in on the top,yes it is
2239,where is this made,in the us
2240,is there a hole for the tail,yes there is
2241,how high is the box without the shield on,575 inches
2242,how long is it end to end,115 inches
2243,this is 12 packs with 4 plugs in each pack,yes it is
2244,is this made from diatomaceous earth,yes it is
2245,can these be put together to make a larger area,yes they can
2246,what is the length of the treat in inches,8 inches
2247,is this laminated waterproof,yes it is
2248,what is the spacing measurement between the bars,12 inch
2249,how wide is the light strip,about 4 inches
2250,what is the length,16 inches long
2251,what size is each treat,about 3 inches
2252,is the bottom padded,yes it is
2253,would a french lop fit in this,it should
2254,where is this made,texas
2255,is the bone cooked or raw,cooked
2256,how long is the cord,about 6 feet
2257,how long is the cord on this product,about 3
2258,how high off the ground is this bed,about 9 inches
2259,is this hard to pull on plus carpeting,not at all
2260,is this particular model adjustable,yes it is
2261,is this harness made in america,yes it is
2262,is it available in blue,yes it is
2263,how much food does it hold,about 5 lbs
2264,how big is the large collar,about 195 inches
2265,how long does the small collar measure,15 inches
2266,is the collar included,yes it is
2267,how long does limewood block last,about a month
2268,are there matcing leashes,i dont know
2269,what is the spacing between the bars,1 inch
2270,what is the width,20 inches
2271,how wide are the stairs,twenty inches wide
2272,is this item 2 diffusers and 2 feliway cartridges,yes it is
2273,how long is the cord,about 3feet
2274,how long are these thanks,6 7 inches
2275,is this product made in the usa,yes they are
2276,how wide are the door openings,about 10 inch
2277,can it carry a 60 pound or 70 pound dog,i think so
2278,height,about 6 inches
2279,what is the height to the top step,145 inches
2280,does it fit a 4 pound dog,it should
2281,what is the width of the leash,about an inch
2282,will it tolerate getting wet in the rain,yes it will
2283,will this work to spot ring worm,yes it can
2284,is the entire fountain ceramic not including the pump,yes it is
2285,are these bowls made in the usa,made in china
2286,do these spool fit trimmer nst118r 18v af1003zp30fto065,yes they do
2287,is assembly easy,very easy
2288,how long is it,17 18 inches
2289,how deep are the cells,exactly 2 inches
2290,what is the diameter of the seed tray,10 inches
2291,would you buy this again,absolutely
2292,how much does each hose weigh,about 7lbs
2293,can it roll backwards,yes it can
2294,is this machete full tang,yes it is
2295,is the color really beige i would prefer white,mine is white
2296,how far apart are the tines,about 4 inches
2297,what size is the tubing of the drip ring,14 inch
2298,with handles whats the total diameter,approximately 13 inches
2299,what is the total reach of husquvarna pole saw attachment,about 60 ft
2300,how tall is this,about 2
2301,is the x large shed easily broken down for relocation,not at all
2302,what is the size of pole of the umbrella,68 inches
2303,is this a bent valuve stem,yes it is
2304,is the glass bottle clear or red,clear
2305,how many inches long is the electrical cord,approximately 12 long
2306,how much does this table weight,38 pounds
2307,what size pole will this fit,i dont know
2308,how long are they,17 inches overall
2309,will it fit the coleman 10x10 canopy,yes it should
2310,what is the in side height,73 inches
2311,how many lbs does it hold,about 20 pounds
2312,what is the outside diameter,14 inch
2313,hi is this netting clear or black thanks,it is black
2314,does it matter which side is next to the bark,not at all
2315,what is the weight limitation for this model,300 pounds
2316,will this fit the remington lnt1 limbamptrim 8 chainsaw,dont know
2317,is this unit pre wired,yes mine was
2318,is 54000 btu for each basket or for both,both
2319,can i use polywire with this energizer,of course
2320,will these granules take care of aphids,sorry it wont
2321,will it fit on a troy built ec32 trimmer,dont think so
2322,will this product fit an fs 200 stihl weedeater straight shaft,it should
2323,will this blower fit stihl,great item
2324,will this work with a homelite gas unit,dont know sorry
2325,is this compatible with husqvarna 128ld not 128ldx,yes it is
2326,where is it made,made in italy
2327,does this come with s hooks or chain,both
2328,what size hoses does it take,1 12 inch
2329,can it be set by monday tues wed etc,yes it can
2330,is the shelf inside removable,yes it is
2331,what is the maximum size fire box this will fit,36 inches
2332,how far apart are the emitters,12 inches
2333,diameter of the heat shield it will fit,33 inches
2334,how long,how long what
2335,do these hooks come with anchors,they do not
2336,would it hold the weight of 1 gal humider,yes it would
2337,what is the height of the bird bath,28 inches tall
2338,will this fit 430 2g solo hand held sprayer,dont know sorry
2339,does this fit the solo spritzer slc 3g model sprayer,it should
2340,can this product be used in the house,what product
2341,would this bowl work for a gas fire ring,sorry dont know
2342,whats the inside dimension,approximately 4
2343,what is the maximum inlet pressure for these valves,sorry dont know
2344,is it effective on downy mildew on impatiens,yes it is
2345,do you think this can hold two bales of hay,easily
2346,how much sand can each bag hold,about 10 lbs
2347,how tall is the pool,105 inches
2348,whats the circumference of this dome,12 inches
2349,is this filter the same as kohler 25 050 27,yes they are
2350,is this compatible with hot springs 31114,yes works perfect
2351,how deep is this saucer,about 25
2352,can i use as bird bath,why not
2353,is the blind 10 feet wide or not,yes it is
2354,is it automatic inigtion,yes it is
2355,what size fill opening,4 inches
2356,are these perennials or annuals or both,they are both
2357,will it pick up acorns,yes it will
2358,is this product safe to use on english ivy plants,yes it is
2359,are these chairs stackable,yes they are
2360,will it fit the handle of a genesis e 310,it should
2361,does this cover fit the q1200 grill,yes it fits
2362,will this fit the q1200 with the canister attached thanks,yes it will
2363,easy assembly,yes very easy
2364,where country is this made in,made in china
2365,whats the biggest waist will these fit,around 42
2366,whats the hight of the fence,48inches
2367,how long,about 15 ft
2368,what is the entry hole size,1 18 inches
2369,will this work on model po17542lt96012011002product no9601201 10 mower deck,i dont know
2370,what is measurement at bottom,about 12 inches
2371,is the liner removable,yes it is
2372,is it possible to get just the glass dish,contact the manufacturer
2373,can this be rolled and smoked like a cigarette,yes it can
2374,is it package discreetly,yes it is
2375,how tall is the lower side,3 inches
2376,will these fit a de6020 hayward pump,yes it will
2377,will this work with the side kick grill rv 500,yes it will
2378,width of door opening,55 inches
2379,what is the size of the blade,3 38 inches
2380,how old can the product be and still be effective,2 years
2381,does this work with a c 7499,yes very well
2382,is this generator fueled by gasoline,yes it is
2383,size of the second tier,dont know
2384,will this fit onto http wwwamazoncomgpproductb003,it should fit
2385,exactly how many inches tall is this barrel,approximately 3
2386,what is the depth of it,about 55
2387,is this chain 91 vg 62,yes it is
2388,will this fit a craftsman chain saw,yes it will
2389,how long are they,6 inches
2390,how long is this nozzle,about 4
2391,is it lockable,yes it is
2392,will this heating element work on model 20070210,yes perfectly
2393,will it work for a master built electric smoker,yes it will
2394,will it work on masterbuilt pro smoker,yes it will
2395,what size is this 2 in,that is correct
2396,will this fit a meduim bge,perfectly
2397,can this be used outdoors in the summer,yes definitely
2398,is the grill brush brass,yes it is
2399,where was this made thanks,made in china
2400,what is the material that the pot is made of,hard plastic
2401,how tall is this planter thank you,7 12 inches
2402,what is the battery life on the blower,its great
2403,where is it made,where else china
2404,what does it weigh,75 pounds
2405,what is the height of the garage door opening,about 6 feet
2406,is this for the cutting deckcenter idler,yes it is
2407,can i use this on centipede lawn,yes most definitely
2408,will it work with f17t8 bulb,yes it will
2409,what size is the hole in the blade,78 inch
2410,will this work in snow,yes it should
2411,how thick are the planks 1 inch or 2,1 12 inch
2412,is this solenoid for a 12v system,yes it is
2413,how tall is it,36inches
2414,will this get rid of bag worms,yes it will
2415,is this 220 volt,it is 110
2416,what is the diameter of the umbrella hole,2 inches
2417,how much does it wieght,about 30 pounds
2418,can you use this as wok burner too,absolutely
2419,where are the generators made,i think china
2420,does this product kill crabgrass thanks,absolutely not
2421,will this replace a pentair clean amp clear filter,yes it will
2422,are all 3 sides of this 910 inches,yes they are
2423,what is this made from,it is plastic
2424,does it drain properly,yes perfectly
2425,do these shield come with the briquettes,they sure do
2426,will it fit a browning high power,dont think so
2427,does this work for in ground pools,yes very well
2428,what is the actual size of the cover diameter etc,84 inches
2429,does it kill poison oak and blackberry vines,yes to both
2430,can the fryer be used as a crabshrimp boil purposes,yes it can
2431,is the pump wiried from the factory for 115v,yes it is
2432,what is the diameter of the opening for an umbrella,1 12 inches
2433,what is the diameter of the pole,1 12 inches
2434,is the height on this table adjustable,it is not
2435,is this product suitable for peace lily indoors,yes it is
2436,material what is this planter made out of,plastic resin
2437,what is the max weight for this chair,350 pounds
2438,how much does this planter weigh please,around 10 pounds
2439,what is the width of the blade,about 4 inches
2440,how wide is the wooden bar across the top,36 48 inches
2441,how long is the electrical cord,10ft long
2442,what is the depth measurement,approximately 28
2443,what is the warranty on this item,one year
2444,what is the inside diameter of these anchors,2 inches
2445,how small can the pole be folded,about 5
2446,is the impeller metal,yes it is
2447,is this 110 220v i live in germany,it is 110
2448,what size are the cushions,16 by 20
2449,what is the collapsed length,yes it will
2450,will this fit a de 3600 model,yes it will
2451,what color is the frame silver or white,white
2452,how wide is the base,roughly 4 feet
2453,do the screw nuts and bolts come with the frame,yes they do
2454,is this gas or electric what voltage,charcoal
2455,how many ounces in each bottle of this spray,24 ounces
2456,what are these made out of thanks,hard plastic
2457,what color is this new england arbor,white
2458,what is the inside width of the chairs thank you,17 inches
2459,do you ship to the uk,yes we can
2460,how many inches are the hook openings,about 2 inches
2461,is this a replacement for part 160317 lid,yes it is
2462,are these loppers made in the us,made in china
2463,can this be used for bushpole beans,yes it can
2464,can the wheels be driven without the tines being engaged,yes they can
2465,what is the height,about 30
2466,what is diameter of stone,14 inches
2467,are the glass tubes removable,yes they are
2468,hello is the battery and charger included,yes they are
2469,how much does it weight,9 pounds
2470,will these lights work on metal or steel pools,no they wont
2471,what is the diameter of the pipe 15 or 2,its 15
2472,what is the height of just the cage part,8 inches
2473,can this chair be hung from the ceiling,yes it can
2474,can i be sure the foam i order is white,mine was
2475,what is diameter of the pole,15 inches
2476,how much does it weight,around 10 pounds
2477,what is diameter of actual pit please,approximately 30 inches
2478,does the hardware come with this,with what
2479,what is the width of 30 tank thanks,1222 inches
2480,are these y type chain sets,yes they are
2481,is this umbrella vented,yes it is
2482,can wheel be used as replacement on craftsman lawn mowers,yes it can
2483,will this bag fit an aqua bot turbo 2 thanks,i dont know
2484,is this product omri listed,dont know
2485,how many inches between the holes,12 inches
2486,would the slide fit on a 54x162x120 aluninum deck,yes it will
2487,is the upholstered seat removable,yes it is
2488,can these be ordered in the lowes espresso finish,sorry no
2489,seat height from ground,about 17 12
2490,what is the inside diameter of bowl,about 26
2491,how wide is it 36 42 48,42 inch
2492,will this rack work with weber q2400 electric grill,yes very well
2493,how long is the warrwnty,2 years
2494,do these blades already come sharpened,yes they do
2495,will this fit a ariens max 60 deck mower,yes it should
2496,is this sturdy enough to seat an average adult,yes it is
2497,what is the seat height,16 inches
2498,what is the thickness of the table top,1 14 inches
2499,how long is the warranty,one year
2500,is the fuel inlet straight or right angled,straight
2501,how long are the individual teeth they look very short,about 3 inches
2502,what is warantee,two years
2503,what is the pole diameter,1 58 inches
2504,can i use it to water my garden,absolutely
2505,what is distance from hook to pole,about 8 inches
2506,how many pounds of seed are in a bag,5 pounds
2507,battery charger included,yes it was
2508,are they glass,they are plastic
2509,will this pump work on 21ft round above ground,yes it will
2510,is the glx cell 5 a 3 year warranty,2 years
2511,what percentage of the suns rays are blocked,about 75
2512,is it charcoal or electric,charcoal
2513,what is the thickness of the cushions,3 inches
2514,how deep are the cushions,about 4 inches
2515,the distance between rails center to center,19 12 inches
2516,is this plant a perennial,yes it is
2517,is this a concentrate,yes it is
2518,how much does it weigh,233 pounds
2519,how wide is the head,8 inches
2520,how wide is the seat in this tete bench,20 inches
2521,is the wicker black or brown,its black
2522,will these trippers work on a t103 timer,yes most definitely
2523,what materials is this planter made of,it is plastic
2524,do you ship to the uk,sorry no
2525,what are the rods made out of metal or pvcplastic,they are metal
2526,what is the shelf life of this product,3 years
2527,will this fit farm boss ms290,yes it would
2528,will this work with fs46,it should work
2529,warranty on a 1000 watt system,3 years
2530,is this a hood with a glass tube or cover,both
2531,what is the warranty on this system,3 years
2532,will 2 off these cover 4 by 8 foot area,easily
2533,is this a screw in bulb,yes it is
2534,pillows included,yes they are
2535,how high is it,3 inches
2536,how high is this roller,about 3
2537,do you really need distilled water,yes absolutely
2538,will this seat fir a john deere 445 garden tractor,it will not
2539,is this electric start,yes it is
2540,how long is the stem,about an inch
2541,what is the width o,23 inches
2542,what is the inside diameter of the press,3 34 inches
2543,can i use it n my charcoal grill,yes thanks
2544,what is the width between the 2 arms of chairs,17 12 inches
2545,will this work with my intex 8x30 pool,it should work
2546,what size are the hoses,about two inches
2547,how long is it,365 inches
2548,will it work with 220v power input,it will not
2549,is it safe for a porch or deck,yes great product
2550,will this work on a troy bilt tb80ec model trimmer,yes it will
2551,is it gas or electric or charcoal,charcoal
2552,will this work well on privet hedges,yes very well
2553,will this fit a courage sv715 0002,yes it will
2554,how long is the power cord,around 6 feet
2555,are the plants rooted,yes they are
2556,how much oil does it take,16 ounces
2557,will this system work with a 34 hp filter,yes it will
2558,how many inches,about 20 inches
2559,fully extended what is the hight at its lowest point,approximately 6 foot
2560,whats they made of,plastic resin
2561,what is the measurement of the base tks,9 inches
2562,will this connection fit the worx 502 blowervac,yes it will
2563,will diatomatious earth kill roaches in the house,yes it will
2564,what size is the main jet on this carburetor,its 18mm
2565,will this carburetor work also on a gcv 190,yes it will
2566,will this fit a 20 year old mantis 7222m,yes it will
2567,what is the shipping weight of guard n lock,12 ounces
2568,what is the total height when it is set up,about 10
2569,what is the pole diameter,15 inches
2570,are the leds white or warm light,white
2571,does it have a wand,yes of course
2572,do you carry any red soxs urn,sorry no
2573,does this have a warranty,1 year
2574,how tall is it,20 inches
2575,do these spindle include zerk grease fittings,yes they do
2576,how wide is the spreader bar,35 inches
2577,what is size of each repeller,about 2 inches
2578,is this the same as the nordic ware stovetop smoker,yes it is
2579,is the hose made in usa,yes it is
2580,are the tubes plastic or glass,they are glass
2581,will the 40v 29282 battery work with this trimmer,yes it will
2582,are the cushions 3 or 4 inches,yes 4 inches
2583,is this organic or synthetic nutrients,synthetic
2584,are the slates made of metal or are they pvc,they are metal
2585,what is the rough diameter of the base,15 inches
2586,how many inches are the openings of the hooks,about 2 inches
2587,what is the depth measurement for soil,about 6 inches
2588,how tall is this umbrella,about six feet
2589,are the legs round or square,round
2590,do these blades fit a john deere z 225,yes they do
2591,is this weber oem part 67722,yes it is
2592,what is the warranty on these panels,25 year warranty
2593,what diameter is the stone,115 inches
2594,how tall is this ten t,8 foot
2595,how long is the pole,34 inches long
2596,is there drainage in the bottom,yes there is
2597,is the lining removable,yes it is
2598,how much does this chair weigh,about 12 lbs
2599,what is the weight of the chair,about 5 pounds
2600,what is seat width,17 inches
2601,can we put this sauna outdoor,i would not
2602,what is your carbon heating panel emf rateing,sorry cant help
2603,how much does it weigh,4 pounds
2604,can the door be configured to open from either side,yes it can
2605,what is the diameter of this rope,12 inch
2606,would you be able to deliver it to pakistan,unfortunately no
2607,hello is this the wild variety,i think so
2608,does this work for a 15ft above ground pool,yes it will
2609,do the chairs recline,they do not
2610,is the frame white or brown,white
2611,what is the actual seat height of the stool,30 inches
2612,are the seeds heirloom,yes they are
2613,can this be converted to natural gas,yes it can
2614,what is the size of this product,about 12 inches
2615,is it american made,made in china
2616,will this work on a generac xg7000e generator,dont know
2617,what is the warranty for this pr 521,2 year warranty
2618,what diameter is this fire ring,30 inches
2619,will it fit d100,yes it will
2620,will this work on an la110 tractor,yes it should
2621,is this a 20 chain,yes it is
2622,how many gallons is the tub,about 4
2623,what size of neoprene collars does this machine use,175 inch
2624,how thick is the pole,1 12 inch
2625,is there storage inside,no there isnt
2626,how long is the hose that is provided,about 6 feet
2627,will it heat to 103 deg f,yes it will
2628,about how long bf this plant will produce fruit,18 months
2629,how wide is this bridge,29 inches
2630,is this for a duel line spool,yes it is
2631,will this work on a husqvarna 327ldx straight trimmer,yes it will
2632,will this work with husqvarna 128ldx 28cc,yes it will
2633,would this work on the gas version of this grill,yes it would
2634,how long is the spit,48 inches
2635,how many pounds is 10l,10 pounds
2636,is their any warranty on the ballast,one year warranty
2637,how high is this cart,thirteen inches
2638,is there a storage area in the seat,yes there is
2639,what is the height of this table,21 inches
2640,hou many years warrente this items,2 year limited warranty
2641,what is the weight capacity of this decorative bridge,250 pounds
2642,is this a 5 foot bridge,yes it is
2643,about how long is it in the carry bag,about 3 feet
2644,what is the height of the arm rest,2475 inches
2645,what is the height of the seat from the floor,17 34 inches
2646,is the height 25 inches,yes it is
2647,how wide is the cabinet,32 inches
2648,is the width 22 or 32,32 inches wide
2649,how long is the cord,about 15 ft
2650,can this smoker be used outside in the rain,yes it can
2651,is battery charger included,yes it is
2652,how long is the power cord,about 5 ft
2653,does the door and window open and close,yes they do
2654,where is this mower made,the usa
2655,what color is this black or brown,its dark brown
2656,can the user specify a dc offset to the waveform,simple answer yes
2657,will this accessory kit work with big easy model 12101480,yes it will
2658,how long is cushion,45 inches
2659,what are the dimensions of the loveseat cushion,54 inches
2660,what is the length of this cushion,44 inches
2661,what is the width and depth of this cushion,approximately 18
2662,what are the dimensions of the cushions,i dont know
2663,do these blades fit john deere 135,sure will
2664,so are these herloom non gmo organic seeds thanks,yes they are
2665,how wide is the center section without the side shelves,295 inches
2666,will it fit a cf9085lp model,yes it will
2667,will this cover fit a older vcs 4000 bbq,yes it will
2668,how wide is the seat and back of this chair,19 12 inches
2669,will it fit normal size logs,yes it will
2670,is this tent grey,its white
2671,does this sweep need a booster pump to work,absolutely not
2672,do these fit the craftsman 48 riding mower,yes they do
2673,can anyone confirm these work the simpson pressure washers,yes they do
2674,are the chairs stackable,yes they are
2675,how many robots can you build at one time,only one
2676,will this fit an l111,yes it will
2677,what is pole diameter,15 inches
2678,where made,made in china
2679,it will resume same program after restart device,yes it will
2680,do the screw in snaps come with the sun shades,yes they do
2681,can it be used outside to keep ice from forming,absolutely not
2682,is it easy to clean up after cooking,yes it is
2683,is this made in the usa,made in china
2684,how tall is it,23 inches
2685,are these black or brown,dark brown espresso
2686,is the active crabgrass preventer in this product dithiopyr,yes it is
2687,will this work on 110 voltage,yes it should
2688,where is the hammock made,made in china
2689,what is the closest focus,about 7 inches
2690,is the fanimpeller metal,its plastic
2691,is the grill grate completely circular,yes it is
2692,how wide are these chairs,around 35 feet
2693,what is the output warrrantee in years,10 years
2694,where is it manufactured,made in china
